Emotion,F1,Precision,Recall,Support
neutral,0.2752457551385165,0.4173441734417344,0.20533333333333334,750
disappointment,0.3587140439932318,0.2800528401585205,0.4988235294117647,425
excitement,0.4635514018691589,0.3786259541984733,0.5975903614457831,415
hope,0.497787610619469,0.4610655737704918,0.5408653846153846,416
anger,0.5125382262996941,0.7659963436928702,0.3851102941176471,1088
disgust,0.5147058823529411,0.42042042042042044,0.6635071090047393,422
sadness,0.5422446406052963,0.5143540669856459,0.5733333333333334,750
joy,0.542756183745583,0.5774436090225564,0.512,750
surprise,0.575,0.7419354838709677,0.46938775510204084,931
love,0.5829787234042553,0.5067817509247842,0.6861435726210351,599
confusion,0.5938967136150235,0.5163265306122449,0.6988950276243094,362
fear,0.6601705237515225,0.7720797720797721,0.5765957446808511,940
calmness,0.703862660944206,0.5734265734265734,0.9111111111111111,90
frustration,0.7529411764705882,0.6722689075630253,0.8556149732620321,187
anxiety,0.7533875338753387,0.7658402203856749,0.7413333333333333,375
pride,0.7574171029668412,0.6867088607594937,0.8443579766536965,257
gratitude,0.7591362126245847,0.7347266881028939,0.7852233676975945,582
shame,0.760845383759733,0.7125,0.8162291169451074,419
contentment,0.7708333333333334,0.7551020408163265,0.7872340425531915,188
confidence,0.8923076923076924,0.8950617283950617,0.8895705521472392,163
loneliness,0.9217877094972067,0.8870967741935484,0.9593023255813954,172
